Smartchip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
25,NAS71,NAS71,NAS71,NAS71,EUS71,EUS71,EUS71,EUS71,XENOS71,XENOS71,XENOS71,XENOS71,NAS167,NAS167,NAS167,NAS167,EUS167,EUS167,EUS167,EUS167,XENOS167,XENOS167,XENOS167,XENOS167,NAS24,NAS24,NAS24,NAS24,EUS24,EUS24,EUS24,EUS24,XENOS24,XENOS24,XENOS24,XENOS24,NAS120,NAS120,NAS120,NAS120,EUS120,EUS120,EUS120,EUS120,XENOS120,XENOS120,XENOS120,XENOS120,NAS72,NAS72,NAS72,NAS72,EUS72,EUS72,EUS72,EUS72,XENOS72,XENOS72,XENOS72,XENOS72,NAS168,NAS168,NAS168,NAS168,EUS168,EUS168,EUS168,EUS168,XENOS168,XENOS168,XENOS168,XENOS168
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NAS205,NAS205,NAS205,NAS205,EUS205,EUS205,EUS205,EUS205,XENOS205,XENOS205,XENOS205,XENOS205,NAS301,NAS301,NAS301,NAS301,EUS301,EUS301,EUS301,EUS301,XENOS301,XENOS301,XENOS301,XENOS301,NAS253,NAS253,NAS253,NAS253,EUS253,EUS253,EUS253,EUS253,XENOS253,XENOS253,XENOS253,XENOS253,NAS349,NAS349,NAS349,NAS349,EUS349,EUS349,EUS349,EUS349,XENOS349,XENOS349,XENOS349,XENOS349,NAS206,NAS206,NAS206,NAS206,EUS206,EUS206,EUS206,EUS206,XENOS206,XENOS206,XENOS206,XENOS206,NAS302,NAS302,NAS302,NAS302,EUS302,EUS302,EUS302,EUS302,XENOS302,XENOS302,XENOS302,XENOS302
28,NAS254,NAS254,NAS254,NAS254,EUS254,EUS254,EUS254,EUS254,XENOS254,XENOS254,XENOS254,XENOS254,NAS350,NAS350,NAS350,NAS350,EUS350,EUS350,EUS350,EUS350,XENOS350,XENOS350,XENOS350,XENOS350,NAS207,NAS207,NAS207,NAS207,EUS207,EUS207,EUS207,EUS207,XENOS207,XENOS207,XENOS207,XENOS207,NAS303,NAS303,NAS303,NAS303,EUS303,EUS303,EUS303,EUS303,XENOS303,XENOS303,XENOS303,XENOS303,NAS255,NAS255,NAS255,NAS255,EUS255,EUS255,EUS255,EUS255,XENOS255,XENOS255,XENOS255,XENOS255,NAS351,NAS351,NAS351,NAS351,EUS351,EUS351,EUS351,EUS351,XENOS351,XENOS351,XENOS351,XENOS351
29,NAS208,NAS208,NAS208,NAS208,EUS208,EUS208,EUS208,EUS208,XENOS208,XENOS208,XENOS208,XENOS208,NAS304,NAS304,NAS304,NAS304,EUS304,EUS304,EUS304,EUS304,XENOS304,XENOS304,XENOS304,XENOS304,NAS256,NAS256,NAS256,NAS256,EUS256,EUS256,EUS256,EUS256,XENOS256,XENOS256,XENOS256,XENOS256,NAS352,NAS352,NAS352,NAS352,EUS352,EUS352,EUS352,EUS352,XENOS352,XENOS352,XENOS352,XENOS352,NAS209,NAS209,NAS209,NAS209,EUS209,EUS209,EUS209,EUS209,XENOS209,XENOS209,XENOS209,XENOS209,NAS305,NAS305,NAS305,NAS305,EUS305,EUS305,EUS305,EUS305,XENOS305,XENOS305,XENOS305,XENOS305
30,NAS257,NAS257,NAS257,NAS257,EUS257,EUS257,EUS257,EUS257,XENOS257,XENOS257,XENOS257,XENOS257,NAS353,NAS353,NAS353,NAS353,EUS353,EUS353,EUS353,EUS353,XENOS353,XENOS353,XENOS353,XENOS353,NAS210,NAS210,NAS210,NAS210,EUS210,EUS210,EUS210,EUS210,XENOS210,XENOS210,XENOS210,XENOS210,NAS306,NAS306,NAS306,NAS306,EUS306,EUS306,EUS306,EUS306,XENOS306,XENOS306,XENOS306,XENOS306,NAS258,NAS258,NAS258,NAS258,EUS258,EUS258,EUS258,EUS258,XENOS258,XENOS258,XENOS258,XENOS258,NAS354,NAS354,NAS354,NAS354,EUS354,EUS354,EUS354,EUS354,XENOS354,XENOS354,XENOS354,XENOS354
31,NAS211,NAS211,NAS211,NAS211,EUS211,EUS211,EUS211,EUS211,XENOS211,XENOS211,XENOS211,XENOS211,NAS307,NAS307,NAS307,NAS307,EUS307,EUS307,EUS307,EUS307,XENOS307,XENOS307,XENOS307,XENOS307,NAS259,NAS259,NAS259,NAS259,EUS259,EUS259,EUS259,EUS259,XENOS259,XENOS259,XENOS259,XENOS259,NAS355,NAS355,NAS355,NAS355,EUS355,EUS355,EUS355,EUS355,XENOS355,XENOS355,XENOS355,XENOS355,NAS212,NAS212,NAS212,NAS212,EUS212,EUS212,EUS212,EUS212,XENOS212,XENOS212,XENOS212,XENOS212,NAS308,NAS308,NAS308,NAS308,EUS308,EUS308,EUS308,EUS308,XENOS308,XENOS308,XENOS308,XENOS308
32,NAS260,NAS260,NAS260,NAS260,EUS260,EUS260,EUS260,EUS260,XENOS260,XENOS260,XENOS260,XENOS260,NAS356,NAS356,NAS356,NAS356,EUS356,EUS356,EUS356,EUS356,XENOS356,XENOS356,XENOS356,XENOS356,NAS213,NAS213,NAS213,NAS213,EUS213,EUS213,EUS213,EUS213,XENOS213,XENOS213,XENOS213,XENOS213,NAS309,NAS309,NAS309,NAS309,EUS309,EUS309,EUS309,EUS309,XENOS309,XENOS309,XENOS309,XENOS309,NAS261,NAS261,NAS261,NAS261,EUS261,EUS261,EUS261,EUS261,XENOS261,XENOS261,XENOS261,XENOS261,NAS357,NAS357,NAS357,NAS357,EUS357,EUS357,EUS357,EUS357,XENOS357,XENOS357,XENOS357,XENOS357
33,NAS214,NAS214,NAS214,NAS214,EUS214,EUS214,EUS214,EUS214,XENOS214,XENOS214,XENOS214,XENOS214,NAS310,NAS310,NAS310,NAS310,EUS310,EUS310,EUS310,EUS310,XENOS310,XENOS310,XENOS310,XENOS310,NAS262,NAS262,NAS262,NAS262,EUS262,EUS262,EUS262,EUS262,XENOS262,XENOS262,XENOS262,XENOS262,NAS358,NAS358,NAS358,NAS358,EUS358,EUS358,EUS358,EUS358,XENOS358,XENOS358,XENOS358,XENOS358,NAS215,NAS215,NAS215,NAS215,EUS215,EUS215,EUS215,EUS215,XENOS215,XENOS215,XENOS215,XENOS215,NAS311,NAS311,NAS311,NAS311,EUS311,EUS311,EUS311,EUS311,XENOS311,XENOS311,XENOS311,XENOS311
34,NAS263,NAS263,NAS263,NAS263,EUS263,EUS263,EUS263,EUS263,XENOS263,XENOS263,XENOS263,XENOS263,NAS359,NAS359,NAS359,NAS359,EUS359,EUS359,EUS359,EUS359,XENOS359,XENOS359,XENOS359,XENOS359,NAS216,NAS216,NAS216,NAS216,EUS216,EUS216,EUS216,EUS216,XENOS216,XENOS216,XENOS216,XENOS216,NAS312,NAS312,NAS312,NAS312,EUS312,EUS312,EUS312,EUS312,XENOS312,XENOS312,XENOS312,XENOS312,NAS264,NAS264,NAS264,NAS264,EUS264,EUS264,EUS264,EUS264,XENOS264,XENOS264,XENOS264,XENOS264,NAS360,NAS360,NAS360,NAS360,EUS360,EUS360,EUS360,EUS360,XENOS360,XENOS360,XENOS360,XENOS360
