,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
23,0,0,0,0,0,0,0,0,0,0,0,0,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,G5 #59 D4,0,0,0,0,0,0,0,0,0,0,0,0,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,G3 #18 D7,0,0,0,0,0,0,0,0,0,0,0,0,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7,G5 #59 D7
24,0,0,0,0,0,0,0,0,0,0,0,0,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,G3 #18 D14,0,0,0,0,0,0,0,0,0,0,0,0,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,G5 #59 D14,0,0,0,0,0,0,0,0,0,0,0,0,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28,G3 #18 D28
25,0,0,0,0,0,0,0,0,0,0,0,0,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,G5 #59 D28,0,0,0,0,0,0,0,0,0,0,0,0,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,G3 #18 D35,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35,G5 #59 D35
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,G3 #13 D0,S301,S301,S301,S301,S301,S301,S301,S301,S301,S301,S301,S301,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,G1 #43 D2,S349,S349,S349,S349,S349,S349,S349,S349,S349,S349,S349,S349,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,G3 #18 D0,S302,S302,S302,S302,S302,S302,S302,S302,S302,S302,S302,S302
28,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,G1 #43 D4,S350,S350,S350,S350,S350,S350,S350,S350,S350,S350,S350,S350,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,G3 #30 D0,S303,S303,S303,S303,S303,S303,S303,S303,S303,S303,S303,S303,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,G1 #43 D7,S351,S351,S351,S351,S351,S351,S351,S351,S351,S351,S351,S351
29,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,G4 #7 D0,S304,S304,S304,S304,S304,S304,S304,S304,S304,S304,S304,S304,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,G1 #43 D14,S352,S352,S352,S352,S352,S352,S352,S352,S352,S352,S352,S352,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,G4 #25 D0,S305,S305,S305,S305,S305,S305,S305,S305,S305,S305,S305,S305
30,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,G1 #43 D28,S353,S353,S353,S353,S353,S353,S353,S353,S353,S353,S353,S353,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,S306,S306,S306,S306,S306,S306,S306,S306,S306,S306,S306,S306,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,G1 #43 D35,S354,S354,S354,S354,S354,S354,S354,S354,S354,S354,S354,S354
31,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,G6 #33 D2,S307,S307,S307,S307,S307,S307,S307,S307,S307,S307,S307,S307,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,G7 #51 D2,S355,S355,S355,S355,S355,S355,S355,S355,S355,S355,S355,S355,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,G6 #33 D4,S308,S308,S308,S308,S308,S308,S308,S308,S308,S308,S308,S308
32,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,G7 #51 D4,S356,S356,S356,S356,S356,S356,S356,S356,S356,S356,S356,S356,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,G6 #33 D7,S309,S309,S309,S309,S309,S309,S309,S309,S309,S309,S309,S309,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,G7 #51 D7,S357,S357,S357,S357,S357,S357,S357,S357,S357,S357,S357,S357
